uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:9b5ac0f6-1c33-451a-9b0a-c478df7ea36e,620,3004255,analogValue,Warmer/Cooler Adjust,EBU1.BASEMENT.RM-B902.VAV-B902-1.WC-ADJ,NAE-120/FC-2.AH4-SAV-009.WC-ADJ,degreesFahrenheit
urn:uuid:72088bfc-a155-47f4-8be8-5e0ea258d2b2,620,3004256,analogValue,Actual Cooling Setpoint,EBU1.BASEMENT.RM-B902.VAV-B902-1.ACTCLG-STPT,NAE-120/FC-2.AH4-SAV-009.ACTCLG-STPT,degreesFahrenheit
urn:uuid:69c166f5-0d79-499c-bb35-f1e83366849b,620,3004258,analogValue,Actual Heating Setpoint,EBU1.BASEMENT.RM-B902.VAV-B902-1.ACTHTG-STPT,NAE-120/FC-2.AH4-SAV-009.ACTHTG-STPT,degreesFahrenheit
urn:uuid:5c87b173-cedb-4b6d-9792-07b21fcf2faa,620,3004260,analogValue,Occupied Temperature Setpoint,EBU1.BASEMENT.RM-B902.VAV-B902-1.OCCTEMP-STPT,NAE-120/FC-2.AH4-SAV-009.OCCTEMP-STPT,noUnits
urn:uuid:48a36a50-e7a9-4f34-b708-76b0cdc1aa9f,620,3004261,analogValue,Occupied Temperature Deadband,EBU1.BASEMENT.RM-B902.VAV-B902-1.OCCTEMP-DB,NAE-120/FC-2.AH4-SAV-009.OCCTEMP-DB,degreesFahrenheit
urn:uuid:a08b65a4-cf30-4d46-b524-ba92efc90051,620,3004264,analogValue,Cooling Demand,EBU1.BASEMENT.RM-B902.VAV-B902-1.CLG-DMD,NAE-120/FC-2.AH4-SAV-009.CLG-DMD,noUnits
urn:uuid:ee49f511-36ee-4981-81bc-5f222b397d4d,620,3004270,analogValue,Supply Flow Command,EBU1.BASEMENT.RM-B902.VAV-B902-1.SUPFLOW-COMMAND,NAE-120/FC-2.AH4-SAV-009.SUPFLOW-COMMAND,noUnits
urn:uuid:9b3d668e-ee60-451d-919e-2fa99cc58b53,620,3004271,analogValue,Supply Flow Feedback,EBU1.BASEMENT.RM-B902.VAV-B902-1.SUPFLOW-FEEDBACK,NAE-120/FC-2.AH4-SAV-009.SUPFLOW-FEEDBACK,noUnits
urn:uuid:2a083d58-8ca0-4325-ae92-0edbc9f35b0b,620,3004273,analogValue,Exhaust Flow Command,EBU1.BASEMENT.RM-B902.VAV-B902-1.EXHFLOW-COMMAND,NAE-120/FC-2.AH4-SAV-009.EXHFLOW-COMMAND,noUnits
urn:uuid:e2c18fd2-046e-4ba0-adc5-8acfce16642a,620,3004274,analogValue,Exhaust Flow Feedback,EBU1.BASEMENT.RM-B902.VAV-B902-1.EXHFLOW-FEEDBACK,NAE-120/FC-2.AH4-SAV-009.EXHFLOW-FEEDBACK,noUnits
